43	6	μᾶλλον
43	7	ἄξιον
43	8	φροντίζειν
43	10	ἡγήσονται
43	11	αὐτὰ
43	12	οὕτω
43	13	πεπρᾶχθαι
44	1	ἀλλ’
44	2	ὁρᾷς
44	3	δὴ
44	4	ὅτι
44	5	ἀνάγκη
44	7	ὦ
44	8	Σώκρατες
44	12	τῶν
44	13	πολλῶν
44	14	δόξης
44	15	μέλειν
45	1	αὐτὰ
45	3	δῆλα
45	4	τὰ
45	5	παρόντα
45	6	νυνὶ
45	8	οἷοί
45	9	τ’
45	10	εἰσὶν
45	11	οἱ
45	12	πολλοὶ
45	13	οὐ
45	15	σμικρότατα
45	16	τῶν
45	17	κακῶν
45	18	ἐξεργάζεσθαι
45	19	ἀλλὰ
45	21	μέγιστα
45	22	σχεδόν
45	24	ἐάν
45	25	τις
45	28	διαβεβλημένος
45	29	ᾖ
46	1	εἰ
46	3	ὤφελον
46	5	ὦ
46	6	Κρίτων
46	8	οἷοί
46	9	τ’
46	10	εἶναι
46	11	οἱ
46	12	πολλοὶ
46	13	τὰ
46	14	μέγιστα
46	15	κακὰ
46	16	ἐργάζεσθαι
46	18	ἵνα
46	19	οἷοί
46	21	ἦσαν
46	22	καὶ
46	23	ἀγαθὰ
46	25	μέγιστα
46	28	καλῶς
46	29	ἂν
46	30	εἶχεν
47	1	νῦν
47	2	δὲ
47	3	οὐδέτερα
47	4	οἷοί
47	5	τε
48	1	οὔτε
48	2	γὰρ
48	3	φρόνιμον
48	4	οὔτε
48	5	ἄφρονα
48	6	δυνατοὶ
48	7	ποιῆσαι
48	9	ποιοῦσι
48	10	δὲ
48	12	ὅτι
48	13	ἂν
48	14	τύχωσι
49	1	ταῦτα
49	2	μὲν
49	3	δὴ
49	4	οὕτως
49	5	ἐχέτω
50	1	τάδε
50	2	δέ
50	4	ὦ
50	5	Σώκρατες
50	7	εἰπέ
50	8	μοι
51	1	ἆρά
51	2	γε
51	3	μὴ
51	4	ἐμοῦ
51	5	προμηθῇ
51	6	καὶ
51	7	τῶν
51	8	ἄλλων
51	9	ἐπιτηδείων
51	12	ἐὰν
51	13	σὺ
51	14	ἐνθένδε
51	15	ἐξέλθῃς
51	18	συκοφάνται
51	19	ἡμῖν
51	20	πράγματα
51	21	παρέχωσιν
51	22	ὡς
51	23	σὲ
51	24	ἐνθένδε
51	25	ἐκκλέψασιν
51	28	ἀναγκασθῶμεν
51	29	ἢ
51	30	καὶ
51	31	πᾶσαν
51	33	οὐσίαν
51	34	ἀποβαλεῖν
51	35	ἢ
51	36	συχνὰ
51	37	χρήματα
51	39	ἢ
51	40	καὶ
51	41	ἄλλο
51	42	τι
51	43	πρὸς
51	44	τούτοις
51	45	παθεῖν
52	1	εἰ
52	2	γάρ
52	3	τι
52	4	τοιοῦτον
52	5	φοβῇ
52	7	ἔασον
52	8	αὐτὸ
52	9	χαίρειν
53	1	ἡμεῖς
53	2	γάρ
53	4	δίκαιοί
53	5	ἐσμεν
53	6	σώσαντές
53	7	σε
53	8	κινδυνεύειν
53	9	τοῦτον
53	11	κίνδυνον
53	12	καὶ
53	13	ἐὰν
53	14	δέῃ
53	15	ἔτι
53	16	τούτου
53	17	μείζω
54	1	ἀλλ’
54	2	ἐμοὶ
54	3	πείθου
54	4	καὶ
54	5	μὴ
54	6	ἄλλως
54	7	ποίει
55	2	ταῦτα
55	3	προμηθοῦμαι
55	5	ὦ
55	6	Κρίτων
55	8	καὶ
55	9	ἄλλα
55	10	πολλά
56	1	μήτε
56	2	τοίνυν
56	3	ταῦτα
56	4	φοβοῦ
56	7	γὰρ
56	8	οὐδὲ
56	9	πολὺ
56	10	τἀργύριόν
56	13	θέλουσι
56	14	λαβόντες
56	15	τινὲς
56	16	σῶσαί
56	17	σε
56	18	καὶ
56	19	ἐξαγαγεῖν
56	20	ἐνθένδε
57	1	ἔπειτα
57	2	οὐχ
57	3	ὁρᾷς
57	4	τούτους
57	6	συκοφάντας
57	7	ὡς
57	8	εὐτελεῖς
57	11	οὐδὲν
57	12	ἂν
57	13	δέοι
57	14	ἐπ’
57	15	αὐτοὺς
57	16	πολλοῦ
57	17	ἀργυρίου
58	1	σοὶ
58	3	ὑπάρχει
58	4	μὲν
58	6	ἐμὰ
58	7	χρήματα
58	9	ὡς
58	11	οἶμαι
58	13	ἱκανά
59	1	ἔπειτα
59	3	εἴ
59	5	ἐμοῦ
59	6	κηδόμενος
59	7	οὐκ
59	8	οἴει
59	9	δεῖν
59	10	ἀναλίσκειν
59	11	τἀμά
59	13	ξένοι
59	15	ἐνθάδε
59	16	ἕτοιμοι
59	17	ἀναλίσκειν
60	1	εἷς
60	2	δὲ
60	4	κεκόμικεν
60	5	ἐπ’
60	6	αὐτὸ
60	7	τοῦτο
60	8	ἀργύριον
60	9	ἱκανόν
60	11	Σιμμίας
60	13	Θηβαῖος
60	15	ἕτοιμος
60	16	δὲ
60	17	καὶ
60	18	Κέβης
60	19	καὶ
60	20	ἄλλοι
60	21	πολλοὶ
60	22	πάνυ
61	1	ὥστε
61	3	ὅπερ
61	4	λέγω
61	6	μήτε
61	7	ταῦτα
61	8	φοβούμενος
61	9	ἀποκάμῃς
61	10	σαυτὸν
61	11	σῶσαι
61	15	ὃ
61	16	ἔλεγες
61	17	ἐν
61	19	δικαστηρίῳ
61	21	δυσχερές
61	22	σοι
61	23	γενέσθω
61	24	ὅτι
61	25	οὐκ
61	26	ἂν
61	27	ἔχοις
61	28	ἐξελθὼν
61	30	χρῷο
61	31	σαυτῷ
62	1	πολλαχοῦ
62	3	γὰρ
62	5	ἄλλοσε
62	6	ὅποι
62	7	ἂν
62	8	ἀφίκῃ
62	9	ἀγαπήσουσί
62	10	σε
63	1	ἐὰν
63	2	δὲ
63	3	βούλῃ
63	4	εἰς
63	5	Θετταλίαν
63	6	ἰέναι
63	8	εἰσὶν
63	9	ἐμοὶ
63	10	ἐκεῖ
63	11	ξένοι
63	12	οἵ
63	13	σε
63	14	περὶ
63	15	πολλοῦ
63	16	ποιήσονται
63	17	καὶ
63	18	ἀσφάλειάν
63	19	σοι
63	20	παρέξονται
63	22	ὥστε
63	23	σε
63	24	μηδένα
63	25	λυπεῖν
63	27	κατὰ
63	28	Θετταλίαν
63	29	ἔτι
63	32	ὦ
63	33	Σώκρατες
63	35	οὐδὲ
63	36	δίκαιόν
63	37	μοι
63	38	δοκεῖς
63	39	ἐπιχειρεῖν
63	40	πρᾶγμα
63	42	σαυτὸν
63	43	προδοῦναι
63	45	ἐξὸν
63	46	σωθῆναι
63	48	καὶ
63	49	τοιαῦτα
63	50	σπεύδεις
63	51	περὶ
63	52	σαυτὸν
63	53	γενέσθαι
63	54	ἅπερ
63	55	ἂν
63	58	ἐχθροί
63	59	σου
63	60	σπεύσαιέν
63	61	τε
63	63	ἔσπευσαν
63	64	σὲ
63	65	διαφθεῖραι
63	66	βουλόμενοι
64	1	πρὸς
64	3	τούτοις
64	6	ὑεῖς
64	7	τοὺς
64	8	σαυτοῦ
64	9	ἔμοιγε
64	10	δοκεῖς
64	11	προδιδόναι
64	13	οὕς
64	14	σοι
64	15	ἐξὸν
64	17	ἐκθρέψαι
64	18	καὶ
64	19	ἐκπαιδεῦσαι
64	20	οἰχήσῃ
64	21	καταλιπών
64	23	καὶ
64	24	τὸ
64	25	σὸν
64	26	μέρος
64	27	ὅτι
64	28	ἂν
64	29	τύχωσι
64	30	τοῦτο
64	31	πράξουσιν
65	1	τεύξονται
65	2	δέ
65	4	ὡς
65	5	τὸ
65	6	εἰκός
65	8	τοιούτων
65	9	οἷάπερ
65	10	εἴωθεν
65	11	γίγνεσθαι
65	12	ἐν
65	14	ὀρφανίαις
65	15	περὶ
65	17	ὀρφανούς
66	1	ἢ
66	2	γὰρ
66	3	οὐ
66	4	χρὴ
66	5	ποιεῖσθαι
66	6	παῖδας
66	7	ἢ
66	8	συνδιαταλαιπωρεῖν
66	9	καὶ
66	10	τρέφοντα
66	11	καὶ
66	12	παιδεύοντα
66	14	σὺ
66	15	δέ
66	16	μοι
66	17	δοκεῖς
66	19	ῥᾳθυμότατα
66	20	αἱρεῖσθαι
67	1	χρὴ
67	2	δέ
67	4	ἅπερ
67	5	ἂν
67	6	ἀνὴρ
67	7	ἀγαθὸς
67	8	καὶ
67	9	ἀνδρεῖος
67	10	ἕλοιτο
67	12	ταῦτα
67	13	αἱρεῖσθαι
67	15	φάσκοντά
67	18	ἀρετῆς
67	19	διὰ
67	20	παντὸς
67	21	τοῦ
67	22	βίου
67	23	ἐπιμελεῖσθαι
68	1	ὡς
68	2	ἔγωγε
68	3	καὶ
68	4	ὑπὲρ
68	5	σοῦ
68	6	καὶ
68	7	ὑπὲρ
68	8	ἡμῶν
68	9	τῶν
68	10	σῶν
68	11	ἐπιτηδείων
68	12	αἰσχύνομαι
68	13	μὴ
68	14	δόξῃ
68	15	ἅπαν
68	17	πρᾶγμα
68	19	περὶ
68	20	σὲ
68	21	ἀνανδρίᾳ
68	24	ἡμετέρᾳ
68	25	πεπρᾶχθαι
68	27	καὶ
68	29	εἴσοδος
68	30	τῆς
68	31	δίκης
68	32	εἰς
68	34	δικαστήριον
68	35	ὡς
68	36	εἰσῆλθεν
68	37	ἐξὸν
68	38	μὴ
68	39	εἰσελθεῖν
68	41	καὶ
68	42	αὐτὸς
68	44	ἀγὼν
68	46	δίκης
68	47	ὡς
68	48	ἐγένετο
68	50	καὶ
68	52	τελευταῖον
68	53	δὴ
68	56	ὥσπερ
68	57	κατάγελως
68	58	τῆς
68	59	πράξεως
68	61	κακίᾳ
68	63	καὶ
68	64	ἀνανδρίᾳ
68	66	ἡμετέρᾳ
68	67	διαπεφευγέναι
68	69	δοκεῖν
68	71	οἵτινές
68	72	σε
68	73	οὐχὶ
68	74	ἐσώσαμεν
68	75	οὐδὲ
68	76	σὺ
68	77	σαυτόν
68	79	οἷόν
68	80	τε
68	81	ὂν
68	82	καὶ
68	83	δυνατὸν
68	84	εἴ
68	85	τι
68	87	μικρὸν
68	88	ἡμῶν
68	89	ὄφελος
68	90	ἦν
69	1	ταῦτα
69	2	οὖν
69	4	ὦ
69	5	Σώκρατες
69	7	ὅρα
69	8	μὴ
69	9	ἅμα
69	10	τῷ
69	11	κακῷ
69	12	καὶ
69	13	αἰσχρὰ
69	14	ᾖ
69	15	σοί
69	16	τε
69	17	καὶ
69	18	ἡμῖν
70	1	ἀλλὰ
70	2	βουλεύου
70	4	μᾶλλον
70	5	δὲ
70	6	οὐδὲ
70	7	βουλεύεσθαι
70	8	ἔτι
70	9	ὥρα
70	10	ἀλλὰ
70	11	βεβουλεῦσθαι
70	13	μία
70	14	δὲ
70	15	βουλή
71	2	γὰρ
71	3	ἐπιούσης
71	4	νυκτὸς
71	5	πάντα
71	6	ταῦτα
71	7	δεῖ
71	8	πεπρᾶχθαι
71	10	εἰ
71	11	δ’
71	13	περιμενοῦμεν
71	15	ἀδύνατον
71	16	καὶ
71	17	οὐκέτι
71	18	οἷόν
71	19	τε
72	2	παντὶ
72	3	τρόπῳ
72	5	ὦ
72	6	Σώκρατες
72	8	πείθου
72	9	μοι
72	10	καὶ
72	11	μηδαμῶς
72	12	ἄλλως
72	13	ποίει
73	1	ὦ
73	2	φίλε
73	3	Κρίτων
73	6	προθυμία
73	7	σου
73	8	πολλοῦ
73	9	ἀξία
73	10	εἰ
73	11	μετά
73	13	ὀρθότητος
73	14	εἴη
74	1	εἰ
74	2	δὲ
74	3	μή
74	5	ὅσῳ
74	6	μείζων
74	7	τοσούτῳ
74	8	χαλεπωτέρα
75	1	σκοπεῖσθαι
75	2	οὖν
75	3	χρὴ
75	4	ἡμᾶς
